Abstract_ID,Cluster_Ward,Cluster_AGNES
GARAS2024100885,2,1
NOROOZI2019295,5,1
MEMARIAN2023100022,5,1
9320732,5,1
MATENCIO2021129639,2,1
ROMEROCRISTOBAL2025502215,1,1
20152,1,1
LIU2024104981,2,1
KIRGIL2022101668,1,1
MENENDEZHERRERO2024210,2,1
NOCERINO2023112626,2,1
TALL1999223,5,1
THEODOROU20075697,2,1
GORDON2018273,2,1
SALIS202320,2,1
GONG2023105530,1,1
JIANG2023104680,5,1
PANG2025102852,2,1
YANG2025105282,5,1
ADENIJI2023,2,1
MELGAREJO2025121371,2,1
LI2023106688,2,1
MOTANIETO2024103563,2,1
ZANG2024102892,1,1
REN2020101487,4,1
CHEVALIER2022104431,4,1
ZHAO2023106750,2,1
ABRAMSKY200637,1,1
MILLER1993205,2,1
VANZUNDERT2010270,2,1
ABUHAY2018193,1,1
BLOCK20191003,1,1
OSINGA2022103298,2,1
COLLINS2023101585,1,1
RAMOS2022111762,2,1
ESHAGHI2024107342,2,1
WANG2022103414,2,1
HUSSAIN2025109490,1,1
WARD202154,1,1
LEISTI2016340,1,1
GERVAIS2015312,1,1
PSYCHARIS2013253,5,1
LEI2020105439,4,1
LI2024101537,5,1
VARTIAINEN2020100182,5,1
JONES201795,5,1
NUGRAHA2023406,2,1
HOOSHYAR2021106575,5,1
BIRJALI201765,2,1
RICHEY2014857,2,1
9247066,5,1
ZHAN2024121679,2,1
ASMUSSEN2025103328,1,1
LIU2023101339,1,1
GRIFFEN20208695,2,1
BAUSO20161,5,1
ALTHUWAINI2025100543,5,1
AGUIRRE2024101196,5,1
WANG2013226,2,1
FU2024130444,2,1
9477642,5,1
DEBER200449,2,1
HARANGUS2020615,4,1
CHERMAHINI2010458,1,1
ROBLEDOCASTRO2025103145,5,1
CERULLI2024111976,2,1
GOLES2020126541,1,1
WANG20241359,1,1
HUANG201244,2,1
MALKO2023100320,1,1
DOLAN2023,2,1
ZHANG2022101060,1,1
DIAZBERRIOS2022100953,5,1
KROGER2013189,2,1
WILLS2019104027,2,1
ABDELHAMID2022101673,2,1
KRZHIZHANOVSKAYA2015288,5,1
MARQUEZ2024107434,2,1
MITTAL1994253,2,1
FRITSCH2024100297,5,1
BERKOVICHOHANA2020116626,1,1
HE2025103404,1,1
CAETANO2020287,2,1
KLIMOVA20231,5,1
YURKOVICH2018130,1,1
AMARAL20211,1,1
LIU2000261,1,1
SUO2024109268,2,1
ZHANG2024101412,5,1
MANFRE201612,2,1
BAUTISTA2023109,2,1
XU2021104922,1,1
LIANG2019341,2,1
8305488,5,1
VIGOTSKY2024884,1,1
SANDERS20121134,5,1
CAMACHOLIE202435,1,1
PALANIYAPPAN2023994,1,1
LYE201451,5,1
RAIKOV2018492,1,1
DEBRUIJNSMOLDERS2024e39439,5,1
PANG201667,2,1
EDELMAN201791,1,1
SPELDA2020102531,1,1
JAY201976,1,1
TALANOV2018473,1,1
RUSSO2020745,1,1
RAZA2021101626,2,1
PANG2022118826,1,1
JAIN2023119859,2,1
LAWNICZAK20102227,1,1
HEMMO202364,1,1
BOND200481,1,1
JORAJURIA2022664,2,1
PONRANI2024110203,1,1
HEIKKURINEN20181654,1,1
WANG2021100968,1,1
YANG2025101752,4,1
LI2023113687,2,1
ADAMS2010324,1,1
WANG2023109577,2,1
LEE2021101596,1,1
ESSAKALI2024123910,2,1
SALCEANU2014837,5,1
GHAVAM2021128776,2,1
LOHSE2012236,2,1
HUEY2022101211,1,1
LI2025124674,2,1
JUHOLA2021106367,2,1
JOHNSON2022105743,2,1
7193021,1,1
SMITH2019473,1,1
FIDAI2020100726,2,1
ZECHMEISTER2023104889,2,1
HAUSER201778,2,1
WOLFENGAGEN2016353,1,1
ZHANG2023101278,5,1
HASHIMZADE2025100310,2,1
ROLLS2024e31965,3,1
SANGALLI2018117,2,1
PIRES2024625,1,1
8995066,5,1
BREIT2025102621,5,1
KHAN2022200147,2,1
GOVINDAN2019653,2,1
VELDHUIS2025100708,3,1
HEDE2015522,2,1
KONOVALOV20213323,1,1
MALOMO2024106108,2,1
WANG2024119513,5,1
SUN20112118,5,1
LIN20162176,2,1
OLSON1995183,2,1
YE2024116982,2,1
LEVIN2019125,1,1
LIU2024105391,1,1
PRITCHARD2025107684,2,1
JEYASUBRAMANIAN2021120243,2,1
KOORAEIM20122796,1,1
ZHANG2022108760,2,1
GUPTA2022103,2,1
CHEN2005121,1,1
FIORELLI2025150,2,1
ZHANG2025107610,2,1
CHEAH2025100363,5,1
SZUBA2001489,2,1
FALZON2006629,2,1
YILMAZ2023100005,5,1
GOEL2023,1,1
RYAN2025104706,2,1
JOHNSON20241037,2,1
STEGER2021127,1,1
KAMPPINEN1998481,2,1
BUSCEMA2022112439,1,1
FLATER2018144,5,1
KIM20141,2,1
GUERRERO2023101062,1,1
LUND2017556,2,1
WISE2024144,1,1
KNIGHT20158,1,1
8560947,5,1
VEITAS201716,1,1
CHERNIKOVA2015101,1,1
JIN2024e32590,5,1
ANGELI2020105954,5,1
AVEN2002195,2,1
KENETT2019271,1,1
VANDENBOS201842,1,1
SANISLOW2019779,1,1
CAI2002401,5,1
8252305,5,1
KAR2023102661,2,1
RICHARD2019136,2,1
ROSLI2024110463,5,1
PELAEZ2025109363,2,1
LI2025134281,2,1
FALBEN2023105386,1,1
ASEMI2025106795,1,1
HOPPENSTEADT201599,1,1
RONI2022100796,2,1
CELIK2023102026,3,1
BARTELS2008381,1,1
MONTANARO2024,1,1
SATO2019293,2,1
BENEDEK2014125,1,1
ATSALAKIS2016107,2,1
DAW2006199,1,1
DARICI2024123327,3,1
WANG2025101743,5,1
BOHLENDER2018428,2,1
HICKS2021,1,1
CHASTAIN2002237,2,1
NG2024100090,5,1
GROSS2019116125,1,1
SPROULE2002412,2,1
VIGNAPIANO201999,1,1
POLLAROLO2024100637,5,1
PERKINS2015492,1,1
KIM2024105050,1,1
OSMAN2013188,5,1
KONG2022503,1,1
BALLESTERRIPOLL2025109368,2,1
BULLEY201753,1,1
GARCIASANCHO201216,2,1
ZHANG2025,2,1
ISMAILOVA2020291,1,1
BILORIA2012259,2,1
DELIMANETO2018225,2,1
HARTWIGSEN20212075,1,1
DUMONTHEIL20101574,1,1
BENTON2023105626,1,1
DELIDDO2021102537,1,1
10435201,5,1
MUTH1992278,1,1
TESCH2001633,2,1
RICHARDSON2021107607,1,1
KELLIHER201536,2,1
AIMONE2009187,1,1
GUTIERREZORTIZ2022100164,2,1
KAUFFMAN2017115,2,1
KAMATH2020100944,1,1
PROKOPENKO2019134,1,1
BEECH2023105401,1,1
HALEEM2024100006,5,1
TEMIZER2011114,2,1
FRENCH2023100030,1,1
WANG2023101135,1,1
CETIN201770,5,1
GRIMM2024102428,1,1
DANNENHAUER2014226,1,1
